机构名称,机构编号,机构类型,服务形式,区托育服务管理机构,机构负责人,机构联系电话,举办者,地址,供餐情况,收费情况[元/月]
上海嘉定禾恩托育有限公司,1142100000400000,营利性托育机构,全日制,嘉定区托育服务指导中心,李素娜,17317737448,王伟；徐旻辰；李素娜,上海市嘉定区南翔镇芳林路333弄48号49号50号51号一层,自行加工膳食,6500.0
上海嘉定萌萌鹿托育有限公司,1142100000200000,营利性托育机构,全日制,嘉定区托育服务指导中心,濮海红,021-59549556,王钊,上海市嘉定区南翔镇宝翔路158弄104、105、106、107、108室,自行加工膳食,6500.0
上海嘉定区呦呦托育园,1141111000500000,非营利性托育机构,全日制,嘉定区托育服务指导中心,吴庆,59961618,龙如银  孙自立,上海市嘉定区安亭镇进明渡路452号-460号,自行加工膳食,3000.0
上海嘉定瑞芽托育有限公司,1142111000900000,营利性托育机构,全日制,嘉定区托育服务指导中心,姚旭华,13916489413,上海慈卫文化发展有限公司,上海市嘉定区徐行镇胜竹东路3890弄2号101/105/106/107/108/109/110/111室,自行加工膳食,6500.0
上海金山德楷托育有限公司,1162100000400000,营利性托育机构,全日制,金山区托育服务指导中心,沈仁贤,33696009,孔祥婷、濮庆华、陆秋华,上海市金山区山阳镇中央大道271号二、三层、273号,不自行加工膳食，但提供供餐服务,13000.0
上海金山墨喆托育有限公司,1162100000100000,营利性托育机构,全日制,金山区托育服务指导中心,徐辉,021-67322818,陆游,上海市金山区朱泾镇万安街103弄3号,不自行加工膳食，但提供供餐服务,3500.0
上海金山区金幼托育园,1161111000300000,非营利性托育机构,全日制,金山区托育服务指导中心,刘冉冉,021-57932001,上海杨浦爱曦幼托育有限公司,上海市金山区石化街道石化三村317号,自行加工膳食,3000.0
上海金山区鑫精灵托育园,1161100000200000,非营利性托育机构,全日制,金山区托育服务指导中心,朱宏,021-57271162,上海金山区民办金工幼儿园,上海市金山区金山工业区高林路81号,不自行加工膳食，但提供供餐服务,1800.0
上海静安邦禾托育有限责任公司,1062111001700000,营利性托育机构,全日制,静安区托育服务指导中心,熊喆珏,17717305015,上海知禾信息科技有限公司,上海市静安区大宁路街道汶水路40号13幢1层1204-1208室,自行加工膳食,12000.0
上海静安宝囡托育有限公司,1062111000400000,营利性托育机构,全日制,静安区托育服务指导中心,沈美萍,021-61800823,张颖,上海市静安区彭浦镇上海市灵石路658、660、662、664号108室,不自行加工膳食，但提供供餐服务,8000.0
上海静安辅智托育有限公司,1062100001600000,营利性托育机构,全日制,静安区托育服务指导中心,魏娜,021-31220996,郑韶雨,上海市静安区曹家渡街道万航渡路858弄15号101室,不提供膳食,15000.0
上海静安翰哲托育有限公司,1062111001300000,营利性托育机构,全日制,静安区托育服务指导中心,史庆颖,56553690,张慧,上海市静安区临汾路街道上海市静安区临汾路33号,不自行加工膳食，但提供供餐服务,6000.0
上海静安九伴托育有限公司,1062100000800000,营利性托育机构,全日制,静安区托育服务指导中心,朱玮,15921616009,陈炎庆,上海市静安区共和新路街道延长中路628弄1、2、3号底层,自行加工膳食,10000.0
上海静安麦忒托育有限公司,1062100000500000,营利性托育机构,全日制,静安区托育服务指导中心,臧妍勋,021-31830089,上海麦忒教育科技有限公司,上海市静安区共和新路街道中山北路901号1楼,不提供膳食,15800.0
上海静安满儿托育有限公司,1062111001500000,营利性托育机构,全日制,静安区托育服务指导中心,王恺,66278255,满儿企业管理（上海）有限公司,上海市静安区大宁路街道寿阳路99弄协信星光广场南里1层s126,自行加工膳食,8600.0
上海静安曼彻斯托育有限公司,1062111000700000,营利性托育机构,全日制,静安区托育服务指导中心,章立,02166776006,胡浩丽，李燕，周甬涛,上海市静安区大宁路街道平型关路1037号,不自行加工膳食，但提供供餐服务,12000.0
上海静安纽英托育有限公司,1062111001200000,营利性托育机构,全日制,静安区托育服务指导中心,李佳佳,56331801,上海昀祚教育科技有限公司；李军；章欣,上海市静安区彭浦新村街道云欣路200弄6号101室,不自行加工膳食，但提供供餐服务,13800.0
上海静安杞初托育有限公司,1062111000900000,营利性托育机构,全日制,静安区托育服务指导中心,罗静,80317559,上海灵童教育科技有限公司,上海市静安区彭浦镇沪太支路566弄1号104、107-115室,不自行加工膳食，但提供供餐服务,6800.0
上海静安区格林新蕾托育园,1061100000300000,非营利性托育机构,全日制,静安区托育服务指导中心,黎艳玲,54030603*12,上海正格林金实业有限公司,上海市静安区曹家渡街道胶州路561号,自行加工膳食,12000.0
上海静安区嘉乐宝宝托育园,1061111002000000,非营利性托育机构,全日制,静安区托育服务指导中心,崔红,18621740380,陈火明  上海贤德教育科技有限公司,上海市静安区共和新路街道洛川中路1100弄63号,自行加工膳食,9800.0
上海静安区嘉乐贝贝托育园,1061111000200000,非营利性托育机构,全日制,静安区托育服务指导中心,钱娟,021-66080303,宋德芬，上海嘉乐贝贝教育科技有限公司,上海市静安区大宁路街道民晏路55号,自行加工膳食,5600.0
上海静安区芷江西路街道永盛托育园,1061111001900000,非营利性托育机构,全日制,静安区托育服务指导中心,郑洁,021-52840227,上海棋颖文化传播有限公司,上海市静安区芷江西路街道中兴路1233弄3幢1号、2号,不自行加工膳食，但提供供餐服务,8000.0
上海静安睿曜托育有限公司,1062100001100000,营利性托育机构,全日制,静安区托育服务指导中心,陈英,02156319313,顾婷怡，北京云风智慧教育科技有限公司,上海市静安区大宁路街道江场路1400号C101、C106室,不自行加工膳食，但提供供餐服务,13800.0
上海静安泰德乐托育有限公司,1062100000600000,营利性托育机构,全日制,静安区托育服务指导中心,郁军,62459509,洪鹭梅,上海市静安区石门二路街道顺德路92号,自行加工膳食,17000.0
上海静安维斯奇托育有限公司,1062100001400000,营利性托育机构,全日制,静安区托育服务指导中心,刘毅文,13917189057,马秉辉；杨炳辉,上海市静安区芷江西路街道静安区永兴路856号一层，856、866、868号202室,不自行加工膳食，但提供供餐服务,3500.0
上海静安文雨托育有限责任公司,1062111001800000,营利性托育机构,全日制,静安区托育服务指导中心,张芸,18001758403,冯炜鹏；黄佳亮；施碧仪,上海市静安区大宁路街道江场路1228弄10号101室,不自行加工膳食，但提供供餐服务,10000.0
上海静安晓荷园托育有限公司,1062111001000000,营利性托育机构,全日制,静安区托育服务指导中心,肖春艳,15618558455,胡利平；蔡万刚；沈雅培；黄正委,上海市静安区彭浦镇沪太支路566弄3号101,不自行加工膳食，但提供供餐服务,5980.0
上海苗迪托育有限公司,1012100000200000,营利性托育机构,全日制,黄浦区托育服务指导中心,赵馨华,021-64227737,上海益定林实业有限公司，上海皓喆文化传播有限公司,上海市黄浦区瑞金二路街道建国西路56弄20号,自行加工膳食,10000.0
上海闵行德浦托育有限公司,1122100000300000,营利性托育机构,全日制,闵行区托育服务指导中心,罗丽,021-33883898,上海顺德教育信息咨询有限公司,上海市闵行区莘庄镇七莘路1588号11号楼一层,自行加工膳食,13880.0
上海闵行教育亲子托育点,1120100000600000,免费福利性托育点,全日制,闵行区托育服务指导中心,韩秀华,021-54859691,上海市闵行区教育局（委托上海闵行启英幼儿园管理）,上海市闵行区七宝镇闵行区新镇路1095号,自行加工膳食,0.0
上海闵行乐鸿托育有限公司,1122100002000000,营利性托育机构,全日制,闵行区托育服务指导中心,姚兰,52276577,上海小龙鱼教育发展有限公司,上海市闵行区虹桥镇金汇南路225号一层B室和二层,自行加工膳食,10000.0
上海闵行区古美名优托育园,1121111000700000,非营利性托育机构,全日制,闵行区托育服务指导中心,王英,021-68932999,许华生；张家兰,上海市闵行区古美街道顾戴路1178弄57-60号,自行加工膳食,3000.0
上海闵行区古美全之未来托育园,1121100000500000,非营利性托育机构,全日制,闵行区托育服务指导中心,金竹宝,021-64021058,上海凯贝教育科技有限公司,上海市闵行区古美街道古美路37号,自行加工膳食,3000.0
上海闵行区虹桥镇德英乐托育园,1121111000200000,非营利性托育机构,全日制,闵行区托育服务指导中心,王芳,021-64880127,上海闵行区万科幼儿园,上海市闵行区虹桥镇虹梅路2878号和2882号,自行加工膳食,3000.0
上海闵行区江川路街道哆来咪托育园,1121111000800000,非营利性托育机构,全日制,闵行区托育服务指导中心,李国辉,15921890221,上海闵行区小哈佛好第坊幼儿园,上海市闵行区江川路街道兰坪路100号,自行加工膳食,3000.0
上海闵行区马桥依霖托育园,1121111001600000,非营利性托育机构,全日制,闵行区托育服务指导中心,周海英,13661889423,举办者1徐刚，举办者2王佳颖,上海市闵行区马桥镇上海闵行区富杰路296号4号楼1楼,自行加工膳食,3000.0
上海闵行区梅陇镇金贝儿托育园,1121011001500000,非营利性托育机构,全日制,闵行区托育服务指导中心,陈红华,18621167856,上海市闵行好时光金拇指幼儿园,上海市闵行区梅陇镇莲花南路969弄26号一楼春申景城邻里中心,不提供膳食,3000.0
上海闵行区浦江镇悦海托育园,1121111001100000,非营利性托育机构,全日制,闵行区托育服务指导中心,何玉芳,34781135,上海闵行区乐海幼儿园,上海市闵行区浦江镇谈中路145号,自行加工膳食,3000.0
上海闵行区浦锦街道托德托育园,1121111002100000,非营利性托育机构,全日制,闵行区托育服务指导中心,金山,13701981769,乔郦娜；王晟颀,上海市闵行区浦江镇浦锦街道浦锦路2049弄21号,自行加工膳食,3000.0
上海闵行区七宝启英托育园,1121100001700000,非营利性托育机构,全日制,闵行区托育服务指导中心,韩秀华,02154859691,上海闵行区启英幼儿园,上海市闵行区七宝镇青年路336弄13号,不自行加工膳食，但提供供餐服务,3000.0
上海闵行区未来宝贝托育园,1121100001300000,非营利性托育机构,全日制,闵行区托育服务指导中心,莫引飞,18018672393,上海闵行区未来宝贝幼儿园,上海市闵行区浦锦街道浦秀路813号,不自行加工膳食，但提供供餐服务,2900.0
上海闵行区吴泾馨辰托育园,1121100000900000,非营利性托育机构,全日制,闵行区托育服务指导中心,曹雯姣,021-52260966,曹雯姣；陈莉萍,上海市闵行区吴泾镇龙吴路5859号-5891号火星一号117-1;117-2 ,自行加工膳食,3000.0
上海闵行区莘庄工业区鑫欣托育园,1121100001200000,非营利性托育机构,全日制,闵行区托育服务指导中心,张玲,64421466,上海诗睿特乐器有限公司,上海市闵行区莘庄工业区鑫都路2688弄15号会所,自行加工膳食,3000.0
上海闵行区莘庄莘建依霖托育园,1121111001400000,非营利性托育机构,全日制,闵行区托育服务指导中心,乔丽华,33363680,徐刚、王佳颖,上海市闵行区莘庄镇上海闵行区莘建支路30号2幢,自行加工膳食,3000.0
上海闵行区新虹街道德英乐托育园,1121111000100000,非营利性托育机构,全日制,闵行区托育服务指导中心,唐亚平,021-62210185,上海闵行区万科幼儿园,上海市闵行区新虹街道宁虹路1122号,自行加工膳食,3000.0
上海闵行区颛桥常春藤托育园,1121111001000000,非营利性托育机构,全日制,闵行区托育服务指导中心,刘颖,52210667,上海浍锦投资有限公司,上海市闵行区颛桥镇颛卫路189号,自行加工膳食,3000.0
上海闵行区颛桥蜜宝托育园,1121111001800000,非营利性托育机构,全日制,闵行区托育服务指导中心,杨红霞,13918891979,王琳、杨红霞,上海市闵行区颛桥镇颛兴东路1633、1635、1637号一层,自行加工膳食,3000.0
上海闵行区颛桥镇优而慧托育园,1121111002200000,非营利性托育机构,全日制,闵行区托育服务指导中心,黄佩珍,13611898865,穆克俭；孙为国；蒋志华；吴以新；周红兵,上海市闵行区颛桥镇中沟路18号1栋、3栋,自行加工膳食,4800.0
上海闵行一萌托育有限公司,1122100001900000,营利性托育机构,全日制,闵行区托育服务指导中心,杨培娟,021-54847218,蔡锦霞、徐德,上海市闵行区江川路街道上海市闵行区凤庆路62弄37号一层,自行加工膳食,6800.0
上海浦东艾宝托育有限公司,1152111004100000,营利性托育机构,全日制,浦东新区托育服务指导中心,孙魏君,50897830,张雯燕；朱燕琴；王静。,上海市浦东新区川沙新镇上海市新德路1049、1051、1053号,不自行加工膳食，但提供供餐服务,3000.0
上海浦东艾凯文托育有限公司,1152100003900000,营利性托育机构,全日制,浦东新区托育服务指导中心,龚秀华,021 58303801,杨科扬；曲媛媛；廖思平。,上海市浦东新区金桥镇中国（上海）自由贸易试验区红枫路336号101，201，301室,不自行加工膳食，但提供供餐服务,14000.0
上海浦东艾上学托育有限公司,1152111004800000,营利性托育机构,全日制,浦东新区托育服务指导中心,尹爱琴,13611885625,王永凤,上海市浦东新区惠南镇拱极路2275号1--2层、2277号1-2层,自行加工膳食,3000.0
上海浦东爱英乐托育有限公司,1152110005600000,营利性托育机构,全日制,浦东新区托育服务指导中心,戴卫平,021-50675956,上海童园企业管理有限公司,上海市浦东新区唐镇上海市浦东新区唐安路816弄1-2号1-3层,自行加工膳食,8000.0
上海浦东爱予托育有限公司,1152100006000000,营利性托育机构,全日制,浦东新区托育服务指导中心,陈海鹰,51908590,乐中文,上海市浦东新区花木街道杜鹃路209号1_2层、2夹层B,不自行加工膳食，但提供供餐服务,3980.0
上海浦东爱约堡托育有限公司,1152111001600000,营利性托育机构,全日制,浦东新区托育服务指导中心,张芳,13162681811,梁敏,上海市浦东新区金桥镇中国（上海）自由贸易试验区金沪路1270号2幢1-3层,自行加工膳食,9000.0
上海浦东百学托育有限公司,1152111001000000,营利性托育机构,全日制,浦东新区托育服务指导中心,陈艺,021-58327007,尤霞,上海市浦东新区三林镇上海浦东新区板泉路1567弄3号138-145室,不提供膳食,5800.0
